edad;sexo;departamento_nacimiento;municipio_nacimiento;diploma_educacion;campaña;campaña_fecha;poblacion;comuna_residencia;zona_residencia;cali_nacimiento;codigo_barrio_residencia;nombre_barrio_residencia;comuna
19.0;Mujer;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;11;cali_zona_urbana;;1111;20 de Julio;11
43.0;Hombre;;;Media académica o clásica;encuentas;25MAR2018;Técnico administración;11;;Si;1111;20 de Julio;11
18.0;Mujer;Valle del Cauca;Buenaventura;Técnica profesional;narrativas;01AGO2018;Ciudadano;No reportado;;;1109;Aguablanca;11
32.0;Mujer;Antioquia;Ituango;No reportado;narrativas;16FEB2017;Ciudadano;No reportado;;;199;Aguacatal;1
19.0;Mujer;Valle del Cauca;Cali;Media académica o clásica;narrativas;01AGO2018;Ciudadano;No reportado;;;199;Aguacatal;1
22.0;Hombre;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;1;cali_zona_urbana;;199;Aguacatal;1
32.0;Mujer;Antioquia;Ituango;Técnica profesional;encuentas;25MAR2018;Técnico administración;1;;No;199;Aguacatal;1
33.0;Hombre;Valle del Cauca;Buenaventura;Profesional;encuentas;25MAR2018;Técnico administración;1;;No;199;Aguacatal;1
38.0;Mujer;;;Profesional;encuentas;25MAR2018;Técnico administración;1;;Si;199;Aguacatal;1
18.0;Mujer;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;9;cali_zona_urbana;;901;Alameda;9
33.0;Hombre;Archipiélago de San Andrés;San Andrés;Técnica profesional;narrativas;16FEB2017;Ciudadano;No reportado;;;1204;Alfonso Barberena A.;12
62.0;Mujer;Cauca;Caldono;Básica primaria;narrativas;16FEB2017;Ciudadano;No reportado;;;1401;Alfonso Bonilla Aragón;14
59.0;Hombre;Cauca;Caldono;Básica secundaria;narrativas;16FEB2017;Ciudadano;No reportado;;;1401;Alfonso Bonilla Aragón;14
20.0;Mujer;Valle del Cauca;Cali;Tecnológica;narrativas;01AGO2018;Ciudadano;14;;;1401;Alfonso Bonilla Aragón;14
21.0;Mujer;Valle del Cauca;Cali;Tecnológica;narrativas;01AGO2018;Ciudadano;No reportado;;;1401;Alfonso Bonilla Aragón;14
15.0;Mujer;Valle del Cauca;Cali;Básica primaria;narrativas;01AGO2018;Ciudadano;14;;;1401;Alfonso Bonilla Aragón;14
70.0;Mujer;No reportado;No reportado;No reportado;narrativas;16FEB2017;Ciudadano;No reportado;;;701;Alfonso López P. 1a. Etapa;7
66.0;Mujer;Valle del Cauca;Cali;No reportado;narrativas;16FEB2017;Ciudadano;No reportado;;;701;Alfonso López P. 1a. Etapa;7
30.0;Hombre;Valle del Cauca;Cali;No reportado;narrativas;16FEB2017;Ciudadano;No reportado;;;701;Alfonso López P. 1a. Etapa;7
37.0;Mujer;Valle del Cauca;Cali;No reportado;narrativas;16FEB2017;Ciudadano;No reportado;;;701;Alfonso López P. 1a. Etapa;7
15.0;Hombre;Cauca;Timbiquí;Básica primaria;narrativas;01AGO2018;Ciudadano;3;;;701;Alfonso López P. 1a. Etapa;7
18.0;Hombre;Valle del Cauca;Cali;No reportado;narrativas;01AGO2018;Ciudadano;7;;;701;Alfonso López P. 1a. Etapa;7
29.0;Hombre;;;Media académica o clásica;encuentas;25MAR2018;Técnico administración;7;;Si;701;Alfonso López P. 1a. Etapa;7
54.0;Hombre;Valle del Cauca;;Básica primaria;narrativas;01AGO2018;Ciudadano;No reportado;;;702;Alfonso López P. 2a. Etapa;7
15.0;Hombre;Valle del Cauca;Cali;Básica primaria;narrativas;01AGO2018;Ciudadano;7;;;703;Alfonso López P. 3a. Etapa;7
18.0;Mujer;Valle del Cauca;Cali;No reportado;narrativas;09ABR2019;Ciudadano;7;cali_zona_urbana;;703;Alfonso López P. 3a. Etapa;7
30.0;Hombre;;;Tecnológica;encuentas;25MAR2018;Técnico administración;7;;Si;703;Alfonso López P. 3a. Etapa;7
34.0;Hombre;Bogotá, D.C.;Bogotá, D.C.;Profesional;narrativas;16FEB2017;Ciudadano;No reportado;;;1813;Alférez Real;18
29.0;Mujer;Bogotá, D.C.;Bogotá, D.C.;Profesional;narrativas;16FEB2017;Ciudadano;No reportado;;;1813;Alférez Real;18
